Job Title,Salary Estimate,Job Function,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,job_state,company_age,python_jd,r,aws,spark,excel
Data Scientist II,$80K - $130K (Glassdoor est.),Data Scientist,"Freeport-McMoRan is a leading international mining company with headquarters in Phoenix, Arizona. We operate large, long-lived, geographically diverse assets with significant proven and probable reserves of copper, gold, and molybdenum. The company has a dynamic portfolio of operating, expansion and growth projects in the copper industry. Freeport-McMoRan is one of the world’s largest publicly traded copper producers, the world’s largest producer of molybdenum and a significant gold producer. We have a long and successful history of conducting our business in a safe, highly efficient and socially-responsible manner.

We have the assets, the talent, the drive and the financial strength to provide attractive and rewarding careers of our employees. We encourage you to take the time to explore the opportunity to advance your career at Freeport-McMoRan.
Description",Freeport McMoRan,4.0,"Phoenix, AZ",10000+ Employees,-1,Company - Public,Mining,Mining & Metals,$10+ billion (USD),80,130,105.0, AZ,-1,0,0,0,0,0
Research Data Scientist,$72K - $120K (Glassdoor est.),Data Scientist,"IAI is looking for a talented research scientist to contribute to research and development efforts in machine learning, graph theory, and scientific software development. The candidate will incorporate novel ideas and improve the state of the art on advanced projects related to processing of large networks, analyzing data in high dimensions and implementing high performance computing software. Additionally, the candidate will develop a portfolio of related research by extending existing work and proposing new methods with novel application domains.

You are highly encouraged to apply if you enjoy working with data and algorithms, passionate about understanding how things work, want to solve complex problems and strive to stay current on the technology and literature in areas of high performance computing, network analysis and machine learning.",Intelligent Automation,3.7,"Rockville, MD",51 to 200 Employees,1987,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$25 to $50 million (USD),72,120,96.0, MD,34,0,0,0,0,0
Principal Data Scientist,$104K - $170K (Glassdoor est.),Data Scientist,"Working out of our Chevy Chase, MD/Washington DC office, GEICO's Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.
As a Principal Data Scientist, you will work with a talented and diverse team of data scientists with responsibility to:
Coordinate project teams of data scientists and supporting roles, acting as the primary point of contact in delivering end-to-end innovative, high-quality data solutions with measurable business value",GEICO,3.5,"Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),104,170,137.0, MD,85,0,0,0,0,0
Machine Learning Engineer,$64K - $116K (Glassdoor est.),Machine Learning Engineer,"We are engineers, high line workers, power plant managers, accountants, electricians, project coordinators, risk analysts, customer service operators, community representatives, safety and security specialists, communicators, human resources partners, information technology technicians and much, much more. We are 3,300 people committed to enhancing the lives of the communities we serve. Together, we are powering the growth and success of our community progress every day!

Grade: 14, 15, 16

Qualifications may warrant placement in a different job level.",CPS Energy,3.7,"San Antonio, TX",1001 to 5000 Employees,1942,Self-employed,Energy,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),64,116,90.0, TX,79,0,0,0,0,0
Data Science Specialist,$80K - $128K (Glassdoor est.),Data Scientist,"Eaton Corporation is currently seeking a Data Science Specialist to join our team. This position can be based at our Moon Township PA, Menomonee Falls WI, Southfield MI, Cleveland OH or Raleigh NC facility. Relocation assistance will be provided if needed.

The Data Science Specialist will be directly involved in the application of statistics, machine learning, and analytic approaches to answer challenging business questions. This work will help businesses across the enterprise solve critical business problems, uncover new business opportunities, and turn their large volumes of data into valuable, actionable insights.

Making what matters work at Eaton takes the passion of every employee around the world. We create an environment where creativity, invention and discovery become reality, each and every day. It’s where bold, bright professionals like you can reach your full potential—and where you can help us reach ours.",Eaton,3.9,"Raleigh, NC",,1911,Unknown,Electrical & Electronic Manufacturing,Manufacturing,,80,128,104.0, NC,110,0,0,0,0,0
Data Scientist,$125K - $154K (Glassdoor est.),Data Scientist,"Are you passionate about using data, finding insights, and trying to explain why things are what they are? If so, read on.

As part of the advanced analytics team, the Data Scientist will be a key player on an innovative team that develops and provides actionable insights across the organization. S/he will help to evolve existing forecasting methodologies across different parts of the organization and develop sophisticated models, using machine learning algorithms and advanced analytics. This role will be responsible for developing long and short-term product demand forecasts in multiple markets and across multiple channels to help drive down supply chain costs (freight, inventory levels). The successful individual will conduct multiple tasks and projects simultaneously, maintain strong relationships with stakeholders, and own deliverables end to end.

Essential Functions and Key Responsibilities:
TaylorMade Golf Company is an equal opportunity employer. All qualified applicants receive consideration for employment without regard to race, religious creed, color, national origin or ancestry, physical or mental disability, medical condition, genetic information, marital status, sex, pregnancy, gender, gender identity, gender expression, age, sexual orientation, military and veteran status or any other basis protected by federal, state or local law, ordinance, or regulation.",TaylorMade Golf,4.3,"Carlsbad, CA",1001 to 5000 Employees,1979,Company - Private,Consumer Products Manufacturing,Manufacturing,$500 million to $1 billion (USD),125,154,139.5, CA,42,0,0,0,0,0
Data Scientist III,$103K - $164K (Glassdoor est.),Data Scientist,"Freeport-McMoRan is a leading international mining company with headquarters in Phoenix, Arizona. We operate large, long-lived, geographically diverse assets with significant proven and probable reserves of copper, gold, and molybdenum. The company has a dynamic portfolio of operating, expansion and growth projects in the copper industry. Freeport-McMoRan is one of the world’s largest publicly traded copper producers, the world’s largest producer of molybdenum and a significant gold producer. We have a long and successful history of conducting our business in a safe, highly efficient and socially-responsible manner.

We have the assets, the talent, the drive and the financial strength to provide attractive and rewarding careers of our employees. We encourage you to take the time to explore the opportunity to advance your career at Freeport-McMoRan.
Description",Freeport McMoRan,4.0,"Phoenix, AZ",10000+ Employees,-1,Company - Public,Mining,Mining & Metals,$10+ billion (USD),103,164,133.5, AZ,-1,0,0,0,0,0
Data & Analytics Consultant,$81K - $123K (Glassdoor est.),Analytics Consultant,"WHO WE LOOK FOR

An SEI Consultant is a master communicator and active listener who understands how to navigate an audience. Self-aware, almost to a fault, SEI consultants keenly understand how to adjust their approach based on the situation. Following a logical, fact-based approach, our consultants possess the superior ability to see correlations others may not, ask the right questions and drive solutions.

As super-connectors, our consultants connect not only people, but data, trends and experiences. Mature, humble, and genuine, SEI Consultants frequently go above and beyond for both their clients and their colleagues. SEI Consultants are ethical and trustworthy individuals who do what they say. SEI Consultants have an insatiable curiosity and love to learn. These individuals are commonly tech savvy and early adopters. Their passion for learning is infectious and excites others.

As every project is different, an SEI Consultant must be with unexpected situations. An SEI Consultant must be at ease with ambiguity because although a client knows that a problem exists – they need SEI to figure it out and drive a solution. SEI Consultants define ambition differently. SEI Consultants are who like to hang out with colleagues outside of work. Whether it be cooking, traveling, hiking, or volunteering, SEI Consultants enjoy working with genuine, thoughtful folks who want to steer clear of the traditional grind and share the joy of day-to-day life and activities with colleagues, friends and family.



Our consultants work with clients at all levels of the organization, from the C-suite to the shop floor, helping them to deliver on their most strategic initiatives. We’re known for making realistic, data-driven decisions that deliver value in tangible ways to our clients. Our clients ask for us on projects that require a superior combination of technical and business capabilities, people and management skills, and a collaborative mindset. We excel in understanding complex programs and strategic initiatives and breaking them into actionable pieces.

We are actively looking for professionals in the following areas:
The ideal candidate will:
Ideal candidates may call themselves Data Engineers, Data Scientists and Analysts and Data Governance professionals. Experience may include but is not limited to the following:",SEI,4.6,"Cincinnati, OH",201 to 500 Employees,1992,Company - Private,Consulting,Business Services,$50 to $100 million (USD),81,123,102.0, OH,29,0,0,0,0,1
Analytics Manager,$52K - $95K (Glassdoor est.),Data Analyst,"Title: Manager, Analytics
Department: Analytics
Wage Category: Salaried, Exempt
Reports to: Director, Analytics
Salary range: Commensurate with experience

Job Statement
The Manager of Analytics is responsible for overseeing the design and delivery of reports and insights that analyze business functions, key operations, and performance metrics. This position will lead a team of analysts using data modeling and analysis techniques to discover insights that will guide strategic decisions and uncover optimization opportunities.",MediRevv,2.8,"Coralville, IA",501 to 1000 Employees,2007,Company - Private,Health Care Services & Hospitals,Health Care,$5 to $10 million (USD),52,95,73.5, IA,14,0,0,0,0,0
Research Scientist I - Essentia,$34K - $75K (Glassdoor est.),Research Scientist,"New product development of broths, stocks, flavors, animal fats and functional collagen products; lead and conduct pilot plant and production plant trials; support operations with technical expertise to improve quality / reduce cost of existing products; collaborate and provide technical support to internal cross functional groups and external customers; propose and identify new technological opportunities.
JOB QUALIFICATIONS:
Education and Experience:
Bachelor of Science degree plus a minimum of 4 years of experience
Master of Science plus 2 years of experience",The Lauridsen Group,2.8,"Ankeny, IA",501 to 1000 Employees,1969,Company - Public,Miscellaneous Manufacturing,Manufacturing,Unknown / Non-Applicable,34,75,54.5, IA,52,0,0,0,0,0
